명칭,우편번호,주소,개요,문의 및 안내,쉬는날,체험안내,체험가능연령,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
부산어린이대공원,47100,부산광역시 부산진구 새싹로 295,"* 부산 시민의 꿈과 동심이 깃든 공간, 부산어린이대공원 *<br /><br />부산의 중심지인 서면에서 약 5㎞ 백양산(해발 642m) 기슭에 위치하고 있으며, 1,527천 평의 면적에 수원지 주변 중심으로 상록침엽수인 삼나무, 편백 등 각종 수목이 울창하게 우거져 있어 도심 속 시민공원으로 자리매김하고 있다. 봄, 여름, 가을, 겨울마다 색을 달리하며 수려한 경치를 뽐내는 공원은 자연을 벗삼아 산책하기 좋은 자연공원 일뿐만 아니라 다양한 볼거리, 즐길거리가 풍성한 공간이기도 하다. 1971년 성지곡유원지로 지정되었다가 1978년 세계 아동의 해를 맞이하여 어린이대공원으로 개칭하여 오늘에 이르고 있다. 청소년 문화오락시설을 갖춘 부산학생교육문화회관과 어린이 과학교육의 장인 어린이회관, 숲 체험 학습 센터와 같은 교육시설도 충분하다. 맑은 자연과 즐길 거리가 풍부한 이곳은 가족끼리, 연인끼리, 혹은 각종 모임과 야유회를 겸해 찾기 좋다.<br>",051-860-7848,어린이대공원 산책로 24시간 연중 무휴,,,,공원 내 순환도로 및 산책로 연중 개방,,없음,가능,,"화장실:있음
주차요금:* 소형<br />
- 10분마다 300원 / 승용차 기준, 15인승 미만 승합차, 2.5톤 미만 화물차<br />
<br />
* 중형<br />
- 10분마다 600원 / 15인승 이상 45인승 미만버스<br />
<br />
* 대형<br />
- 10분마다 900원 / 45인승 이상버스<br />
<br />
※ 50% 할인<br />
- 경형자동차(배기량 1,000cc 미만 차량)<br />
-부산시 다자녀 가정 가족사랑카드에 등재된 비사업용 자동차 (승용차, 12인 이하 승합차, 소형화물차 한정)<br />
- 부산시 승용차부제 참여 차량<br />
- 환경친화적 자동차표지가 외부에서 식별 가능하도록 부착된 자동차<br />
<br />
※ 면제(1시간이내) / 50% 할인(1시간초과)<br />
- 장애인복지법에 따라 등록된 장애인<br />
- 독립유공자의 예우에 관한 법률에 따른 독립유공자<br />
- 국가유공자 등 예우에 관한 법률 시행령에 따른 상이자<br />
- 5·18민주유공자 예우에 관한 법률 시행령에 따른 5·18민주화운동 부상자<br />
- 고엽제후유의증 환자 지원 등에 관한 법률에 따른 적용 대상자 (위의 해당자가 자가 소유 차량 탑승 시)
이용가능시설:* 주요시설<br />
구)성지곡 수원지, 산림욕장, 순환도로, 수변공원, 금연동산, 덱로드와 전망덱, 가족 친수공간, 상징조형물, 만남의광장<br />
<br />
* 편의시설<br />
시민휴식공간, 판매시설, 유모차 대어, 약수터, 동물원 부설주차장, 키득키득 파크<br />
<br />
* 운동시설<br />
체육시설, 배드민턴장<br />
<br />
* 교양시설<br />
평화의 소녀상, 김정한 선생 문학비, 헌7학병 6.25참전 기념비, 이수현 추모비, 사명대사 동상 및 충의비, 박재혁의사 동상, 부산항일학생의거기념탑<br />
<br />
* 유관시설<br />
부산학생교육문화회관, 부산학생교육문화회관광장, 부산어린이회관, 숲체험학습센터, 꿈나라 교통나라, 자유회관, 동물원 
입 장 료:무료
"
부산 에덴공원,49309,부산광역시 사하구 하단동,"* 아담과 이브가 사는 동산, 에덴공원 *<br /><br />사하구는 낙동강이 남해와 만나는 지점에 위치한 고장이다. 부산 시내에서 버스로 30분쯤 하단동으로 가면 앞으로는 낙동강 하류를 끼고 산을 뒤로 한 에덴공원이 있다. 가벼운 운동을 할 수 있는 체육시설과 테니스장이 있으며, 청마 유치환의 '깃발' 시비와 시민헌장비·산책로 등이 있다. 주변에는 철새가 찾아드는 곳으로 이름난 을숙도가 공원 앞 낙동강 가운데 갈대숲을 이루어 떠 있고 공원 안에는 토속 음식점이 있어 부산 시민은 물론 다른 지방의 관광객들도 즐겨 찾는다.<br /><br />* 에덴공원의 역사와 유래 *<br /><br />에덴공원은 본래 ‘강선대’라는 명승지로, 다대포의 몰운대와 함께 팔선대 중의 하나로 꼽혔던 곳이다. 일제강점기 말기에는 강선대 정상에 일본군이 해안포대를 설치하여 포병부대가 주둔한 적이 있었으며, 지금도 그 흔적이 남아 있다. 8·15광복 후 개인 소유였던 곳을 1953년 부산중앙교회 장로였던 백준호가 사들여 공원을 조성하였다. 에덴공원의 이름은 아담과 하와가 살던 에덴동산에 비유하여 지어졌다. 처음에는 에덴원이라고 불리던 것이, 그 뒤 자연스럽게 에덴공원으로 변하여 현재에 이르고 있다.<br>",051-220-6041,연중개방,,,,,,없음,없음,,"화장실:있음
입 장 료:무료
이용가능시설:산책로, 체육시설, 음수대, 게이트볼장, 테니스장, 휴게시설 등
"
용두산공원,48950,부산광역시 중구 용두산길 37-55,"* 부산 3대 명산, 용두산 공원 * <br>용두산(49m)은 부산 시내에 있는 구릉으로서 부산 3명산의 하나이다. 옛날에는 울창한 소나무 사이로 바다가 보였다 하여 송현산(松峴山)이라 하였다가 그 후 산세가 흡사 용 모양이어서 일본에서 건너오는 왜구들을 삼켜버릴 기상이라 하여 용두산이라고 부르게 되었다.<br>8 ·15광복 전에는 일본인들이 신사(神社)를 세웠던 산이며, 지금은 척화비·충혼탑·4 ·19의거 기념탑·이충무공 동상 등이 있고, 부산탑이 세워졌다. 6·25전쟁 때는 피난민들이 산꼭대기까지 판잣집을 지었는데 2차에 걸친 대화재로 민둥산이 되었으나, 그후 식림에 주력한 결과 지금은 아름다운 공원으로 가꾸어졌다. 자유당 때에 우남공원(雩南公園)이라 하다가 4 ·19혁명 후에 다시 용두산공원으로 환원되었다. 부산항과 영도(影島)가 내려다보이는 경승지이며, 특히 부산탑에서 내려다보는 야경이 아름답다.",용두산공원 051-860-7820,연중무휴,,,,연중개방,있음 (대형버스가 가능),없음,없음,,"화장실:있음
입 장 료:없음
이용가능시설:부산타워, 시민의종, 꽃시계, 시의거리, 이순신장군동상, 백산 안희제선생 동산, 용두산공원비, 용탑, 용두산미술전시관 등

"
부산 송도해수욕장,49269,부산광역시 서구 송도해변로 100,"백사장 길이 800m, 너비 50m, 평균수심 1~1.5m. 부산 자갈치시장에서 3km 떨어진 곳에 위치하며, 부산에서 제일 먼저(1913년) 개장한 해수욕장이다. 2000년부터 5년여 간 정비사업을 펼쳐 줄어든 백사장을 확장하고 분수대 등을 설치하며 해변공원이 되었다. 주위에 수산시장과 암남공원 등이 있다.1913년 부산에서 최초로 개발된 해수욕장 구역으로, 1996년 4월, 군사보호구역에서 개방된 도시 자연공원인 암남공원과 바다낚시로 유명한 두도공원으로 연결된 송도는 울창한 원시림과 자연 그대로 보존된 기암괴석, 그리고 부산의 상징인 갈매기와 멀리 영도를 배경으로 한 조용한 바다정경이 장관인 곳이다.<br /><br />주변에 다양한 숙박시설과 먹을거리를 갖추고 있으며 구름다리, 산책로, 보트장, 주차장 등 편의시설이 잘 갖추어져 있다. 송도 해안의 암남공원은 해안 생태 공원으로 송도 해안과 부산 남항을 한눈에 담을 수 있는 전망대, 3.8km의 산책로, 도로변 카페, 횟집들이 즐비한 곳이다. 부산시 서구 부민동 3가에는 한국전쟁 중 부산이 임시 수도였을 때 3년 동안 대통령 관저로 사용된 임시수도기념관이 있다. 송도는 이처럼 격변의 역사를 보낸 서구 암남동 장군반도 남단에 자리잡고 있다.",051-240-4000,,,,,06:00 - 23:00,있음(17개소/670대),없음,없음,,"이용가능시설:임해행정봉사실, 숙영지, 다이빙대, 해양레포츠센터, 공중화장실, 샤워장, 탈의장, 세족장 등
화장실:있음
"
부산동명불원,48520,부산광역시 남구 동명로 57(용당동),"용당동 용비산(龍飛山)에 자리 잡고 있는 동명불원(東明佛院)은 동명목재 회장 고 강석진씨가 국가번영과 부모의 왕생극락을 빌고 동명의 산업현장에서 일하는 1만여명의 동명 가족들의 행운을 위해 건립했다.대부분의 우리나라 사찰이 한국 전통 양식인데, 이 절은 동남아시아의 영향을 받아 용마루가 곧게 뻗어 있고 미얀마의 고탑에서 발굴된 부처의 사리를 모셔 놓았다. 이곳에 안치된 목조개금불상은 우리나라에서 제일 큰 것이다. 범종 또한 한국 최대 규모로 27t이나 되는데 에밀레종보다 6t 정도 더 무겁다고 한다.<br>동명불종은 종두(鐘頭)에 사룡이 새겨져 있는데 종래 볼 수 없었던 독특한 기법이다.대웅전 내부에는 석가세존을 중심으로 좌편에 미륵보살, 우편에 제화 갈라보살 등 3본을 모셨고, 좌불은 우리나라에서 제일 큰 16m이며 법당의 크기도 498.84m²(150.9평)이나 된다. 법당의 가운데에는 기둥없는 특수 공법을 사용했고 내부 천장의 중앙에 4마리의 용머리를 조화시켰으며 양쪽 벽에는 비천상을 새겼다. <br>극락전 나한전 관음전이 갖추어져 있었고, 칠성각 산신각 독성각은 2층으로 설계하고 2층에는 불교서적을 진열했다. 사천왕문의 설계는 입상으로 하였고 효자 효부를 기리기 위해 만든 덕성탑 남자의 덕망과 여자의 덕성을 상징하며 모든 선남선녀는 불법에 귀의하여 덕망과 부덕을 잘 닦아야 한다는 뜻을 담은 부덕탑이 있다. 산신각의 산신은 불원이 자리잡은 산령님을 정중히 모셨다. 동명불원으로 들어가는 입구에는 대관문이 있고 주변에는 인공으로 된 바위만한 정원석을 쌓아 사찰의 위용을 돋보이게 했다. 트럭 1대에 정원석 1개를 싣고 올 정도로 큰 돌들 뿐이다. <br>동명불원에는 법구사물 중 하나이며 세계최대의 법종인 동명불종이 있는데 무게가 27톤으로 경주 에밀레종보다 6톤이나 무겁다. 종의 사방면의 모양은 연화좌 위에 무릎을 세우고 공양하는 공양상과 비천상 주위에 보상화를 구름과 같이 피어오르게 한 것으로 되어 있고 천상으로 천의와 영락등이 휘날리고 있는 에밀레종(국보)의 비천상과 구름 위에 서서 서로 마주보며 무릎을 세우고 하늘을 날며 공후와 생을 주악하는 강원도 상원사종(국보) 비천상의 두 모습을 참고하였다. 문양에 있어서도 장식문형과 비천상, 여래상, 보살상, 동자상 등 상징적인 조상이 있으나 이 불종은 비천상의 문양을 택하였다. 무거운 거종을 메어 단 들보에는 관세음보살 육자 대명왕 진언 옴마니반 메홈의 범자가 씌어 있다. 박달나무의 종채는 네 가닥의 쇠사슬로 매어져 있고, 좌우 양편에서 두 사람이 치도록 되어있다. 종의 북쪽면은 동명불종이라는 이름을 새겼고, 남쪽면은 서기 1976년 4월 8일 단기 4309년 4월 8일로 조성시기를 밝혀 놓았다.<br>",051-624-7667,연중무휴,,,,,주차가능,불가,불가,,"입 장 료:무료
화장실:있음
"
범어사(부산),46200,부산광역시 금정구 범어사로 250(청룡동),"* 화엄종 10찰 중 하나인, 범어사 *

금정산 동쪽 중턱에 위치한 범어사는 신라 제30대 문무왕 18년에 의상대사가 세웠으며, 해인사, 통도사와 함께 영남의 3대 사찰로 유명하며, 화엄종(華嚴宗) 10찰(刹)의 하나이다. 창건사적이나 고적기에 신라 흥덕왕 때 창건된 것이라 기록되어 있고 문무왕 때 의상 대사가 창건한 것으로 기록되어 있어, 문무왕 때 창건하여 흥덕왕 때 중창한 것으로 보고 있다. 창건 당시에는 문무대왕의 명으로 대규모의 불사를 하여 국가의 대 명찰이었다. 그러나 임진왜란 때에 모두 소실되어 거의 폐허가 되었으며, 그 후 광해군 5년에 묘전현감스님, 해민스님 등이 법당과 요사 등을 중건 중수하였다. 현존하는 대웅전과 일주문은 그때에 세운 것으로 알려져 있다.
범어삼기, 금정팔경이라는 기이하고 아름다운 경치들을 가지고 있으며 산내에는 11개의 암자가 있다. 전통적으로 음력 3월 보름에는 3일간 실시하는 보살계산일과 춘추로 모시는 조사스님들의 추모제와 단오날의 고당제가 있다. 현재 범어사에서는 사찰에서 수행자들의 일상과 수행의 일부를 경험하는 사찰문화체험 프로그램인 템플스테이를 진행하고 있다. 범어사 템플스테이의 주제는 ‘참선’이며, ‘참선’은 수행자가 자기의 본래 면목인 ‘참나’를 찾아가는 과정을 말한다.",051-508-3122,연중무휴,,,,,가능,불가,없음,,"화장실:있음
외국어 안내서비스:영어(사전문의)
한국어 안내서비스:문화관광해설사 안내 가능
"
충렬사,47755,부산광역시 동래구 충렬대로 345 충렬사,"안락서원은 1605년(선조38)에 동래부사 윤선이 임진란 때 순절한 동래부사 송상현(宋象賢), 부산첨사 정발(鄭撥), 다대첨사 윤흥신(尹興信) 등 부산지방의 선열을 모시기 위하여 동래읍성의 남문에 송공사단(宋公祠壇)을 건립한 것에서 비롯된다. 1624년(인조2)에 선위사 이민구의 청에 의하여 충렬사란 사액을 받았으며 임진란 때 전사한 부산첨사 정발(鄭撥)을 배향하게 되었고, 1652년(효종3)에 동래부사 윤문거(尹文擧)가 송상현의 학덕과 충절을 숭상 계승하기 위하여 내산 및 안락리(현 충렬사자리)에 이전하여 강당과 동서양재를 지어서 교육기관으로 삼게 한 것이 안락서원의 기원이다. 그 후 1709년(숙종35)에 동래부사 권이진이 송상현과 정발이 순절할 때 함께 순절한 사람들을 모시기 위해 읍성 안에 있는 충렬사의 옛 터에 별사를 세우고 정부에 알린 후 양산군수 조영규(趙英圭), 동래교수 노개방(盧蓋邦), 유생 문덕겸(文德謙) 및 비장 송봉수(宋鳳壽)와 김희수(金希壽), 겸인 신여로(申汝櫓), 향리 송백(宋伯), 부민 김상(金祥) 등을 모시게 되었다. 이처럼 안락서원은 임진왜란 때의 충신열사를 모셨기 때에 뒷날 흥선대원군이 단행한 서원철폐 때도 헐리지 않고 근년까지 그대로 내려오다가 1977년 정부의 충렬사 성역화 방침에 따라 경역을 확장하여 사당과 기념관 등 건물을 새로 짓고 그 보존과 관리에 힘쓰고 있다. 안락서원은 창건 이래 몇 백 년 동안 지방민을 교화하여 충군 애국사상을 고취하고 이 고장에 있는 사람으로서의 긍지를 갖게 하는데 큰 이바지하고 있다.",051-888-7211,연중무휴,"[충렬사 단체관람 프로그램 안내]<br />
* 기념관 문화해설 : 연중 -> 매일3회(11:00/14:30/16:30) / 20분 소요 / 기념관 내 유물 등 해설<br />
* 문화해설사와 함게하는 충렬사 이야기(단체 20명 이상 신청시) : 연중 - > 월~금(10:00~17:00) / 60분 소요 /<br />
충렬사 경내 문화재(건물, 유물 등) 해설 <진행순서 : 정문 -> 송상현공 명언비 -> 소줄당 -> 본전 -> 의열각 -> 기념관 -> 정문<br />
※ 신청대상 : 40인 이하 단체(초등학교 이상)<br />
※ 신청방법 : 충렬사 홈페이지<br />
※ 문의전화 : 051-888-7214, 7219",,,"하절기(4~9월) 09:00~21:00<br />
동절기(10~3월) 09:00~20:00<br />
* 본전 및 기념관 등의 관람 시간 : 09:00~18:00",주차 가능,불가,불가,,"화장실:있음
주차요금:무료
입 장 료:무료
이용가능시설:본전, 의열각, 정화기념비, 기념관, 소줄당, 송상현 공명언비, 전통혼례장, 연못(의중지), 24공신공적비, 동래읍성지, 동장대 등
외국어 안내서비스:불가
한국어 안내서비스:문화해설사 상주
"
금정산성,46237,부산광역시 금정구 북문로 78-5,"사적으로 지정되어 있는 금정산성. 백두대간의 꼬리 끝자락에 해당하는 부산 금정산에는 신라 문무왕 때의 고승 의상대사가 창건했다는 고찰 범어사가 있을 뿐 아니라 삼국시대에 축조된 금정산성이 있다. 동래온천장 서북쪽 금정산(801.5m) 정상에 위치한 금정산성은 동래부 및 양산, 기장의 피난겸 항전성으로 전장 17,337m, 높이 1.5∼3m, 면적 약 8,213㎢에 이르는 산성이다. 이는 우리나라에서 가장 큰 규모이다. 축성연대는 정확히 알지 못하나, 위치 및 규모 등으로 보아 삼국시대에 축성된 것으로 추측된다.<br><br>지금의 산성은 숙종 29년(1703년)에 쌓은 것으로 임진왜란 후 일본의 재침입에 대비하여 경상감사 조태동이 돌로 쌓기 시작하여 숙종 33년(1707년)에 동래부사 한배하가 중성을 수축하였다. 그리고 순조 8년(1808년) 동래부사 오한원이 중수하였으며, 순조 24년(1824년)에는 동래부사 이규현이 이곳에 별장을 배치하였다. 평상시에는 성내의 해월사, 국청사에 있는 승려들이 성벽의 보수유지를 담당하고 있었다. 1970년에 4 개 성문 중 동 ·서 ·남문이 복원되었다.<br><br>* 유지관리가 필요한 금정산성 *<br>일제 암흑기에는 일인들에 의해 훼손, 황폐화되었던 것을 1971년 국가 지정 사적으로 지정하여 2년에 걸쳐 동,서,남문을 복원한 이후 현재 꾸준히 복원사업을 추진하고 있다. 문루 4개소(동, 서, 남, 북), 망루 4개소(1,2,3,4망루)가 소재해 있으며, 또한 금강공원에서 금정산 정상까지 이어지는 케이블카와 수련원, 산장 등의 시설이 있다. 연중 내내 많은 등산객과 행락객들, 학생 및 산악인들이 자연휴식처로 찾아들고 있으며 거기에 따른 인위적 파괴가 증대되고 있고, 폭풍우 등의 자연적 발생 등으로 금정산성 훼손이 심화되어 매년 계속적으로 보수하고 있으나, 유지관리가 더욱 더 필요한 실정이다.<br><br>* 산성길이 : 17,377m<br />* 성벽높이 : 1.5m~3m, 성내의 총면적은 약 2,512,000평(약 8.213k㎡) 가량<br>",051-514-5501,연중무휴,,,,,주차 가능,불가,없음,,
재한유엔기념공원 (UN기념공원),48529,부산광역시 남구 유엔평화로 93 유엔기념공원,"* 한국전쟁에 참여한 유엔군의 안식처, 재한유엔기념공원 *<br /><br />유엔기념공원은 세계 유일의 유엔군 묘지로서, 세계평화와 자유의 대의를 위해 생명을 바친 유엔군 전몰 장병들이 잠들어 있다. 이곳 묘지는 한국전쟁이 일어난 이듬해인 1951 년 1월, 전사자 매장을 위하여 유엔군 사령부가 조성하였으며, 같은 해 4 월 묘지가 완공됨에 따라 개성, 인천, 대전, 대구, 밀양, 마산 등지에 가매장되어 있던 유엔군 전몰장병들의 유해가 안장되기 시작하였다.1955 년 11 월 대한민국 국회는 유엔군의 희생에 보답 하기 위해 이곳 토지를 유엔에 영구히 기증하고, 아울러 묘지를 성지로 지정할 것을 결의하였으며, 1955 년 12 월 15 일, 한국정부로부터 국회의 결의사항을 전달받은 유엔은 이 묘지를 유엔이 영구적으로 관리하기로 유엔총회에서 결의문 제 977(X) 호를 채택하였다. 한국전 당시 대한민국의 자유와 평화를 지키기 위해서, 군대를 파견한 16개국과 의료 지원단을 보낸 5개국의 용사들 중, 전사한 유엔군 전사장병의 영혼이 잠들어있는 성역으로, 이 곳 기념묘지에는 최초 11,000 여명의 전사자가 안장되어 있었으나, 그 후 유가족이나 본국 정부의 요청으로 이장되어, 현재 2,300 기의 유해가 안장되어 있다. 기념묘지의 면적은 14.39㏊(약 45,000평)이며, 한국정부가 1978년에 건립한 12m 높이의 유엔군 위령탑에는 한국전에 파견된 전투장비, 인원 규모, 전사자 현황이 동판에 한글 및 영문으로 새겨져 있으며, 영국 정부가 주체가 되어 건립한 영연방 위령탑에는 영연방 국가의 전사자 중 시신을 찾지 못한 그들의 고귀한 희생을 기리고 있다. 그외 터어키(2), 그리스(1), 호주(1)의 기념비가 설치되어 있다.<br /><br />* 유엔기념공원으로 살펴보는 한국전쟁 참전국 *<br /><br />유엔기념공원에는 한국전쟁 당시 참전했던 나라를 알 수 있게 되어 있다. 참전국으로는 전투지원국 16개국과 위요지원국 5개국 등 총 21개국이다.<br /><br />1) 전투 지원국(16개국) - 미국, 영국, 터키, 캐나다, 호주, 프랑스, 네덜란드, 뉴질랜드, 남아공, 콜롬비아, 그리스, 태국, 에티오피아, 필리핀, 벨기에, 룩셈부르크<br />2) 의료 지원국( 5개국) - 노르웨이, 덴마크, 인도, 이탈리아, 스웨덴<br>",051-625-0625,연중무휴,,,,"하절기(5~9월) 09:00~18:00<br />
동절기(10~4월) 09:00~17:00<br />
※ 30분전까지 입장",주차 가능,없음,불가,,"입 장 료:무료
이용가능시설:각국의 기념비 및 기념 동상, 유엔군 위령탑, 묘역, 녹지지역, 무명용사의 길, 추모관, 기념관 등
화장실:있음
외국어 안내서비스:불가
"
민락수변공원,48289,부산광역시 수영구 민락동,"* 바다와 어우러지는 공간, 민락수변공원*<br /><br />수영구는 오랜 역사와 전통을 지닌 곳으로 경관이 빼어나다. 뒤로는 산세가 수려한 금련산이 있고 앞으로는 광안리해수욕장이 있어 전형적인 배산임해의 명승지이다. 조선시대에는 경상좌도 수군절도사영이 있어 군사적으로 대단히 중요한 지역이었다. 수영이란 지명도 수군절도사영의 준말이었는데 현재의 지명으로 굳어졌다. 이곳에 조성된 민락수변공원은 1992년 8월 공사가 시작돼 1997년 5월 길이 543m, 너비 60m의 공원이 완공되었다. 이 공원은 바다와 휴식공간을 결합한 국내 최초의 수변공원으로 해운대와 광안리의 중간 지점에 위치하고 있다. 면적 1만평 규모로 4만명을 수용할 수 있으며, 바닥에는 컬러 블록을 깔고 화단과 그늘집, 벤치 등의 편의시설을 갖추고 있다. 바다를 바라보며 각종 행사도 관람할 수 있는 3,040㎡에 달하는 스탠드는 만조 때 바닷물이 들어와 발을 담글 수도 있는 공간이다.<br>",051-610-4742,연중무휴,,,,24시간,주차 가능,불가,불가,,"입 장 료:없음
이용가능시설:어린이공원, 그늘막, 벤치, 야외무대 등
화장실:있음
외국어 안내서비스:불가
"
해운대 달맞이길,48116,부산광역시 해운대구 달맞이길 190,"* 부산에서 가장 유명한 드라이브 코스<br /><br />해운대는 부산 해운대구 동쪽 바닷가에 있는 동백(冬柏)섬을 지칭하지만 오늘날에는 ‘달맞이길’이라 불리는 해안선 일대와 언덕을 포함한 곳을 말한다. 부산의 몽마르트르라고도 불리는 ‘달맞이길’. 예로부터 이곳은 푸른 바다, 백사장, 동백숲, 소나무숲이 어우러진 절경으로 이 지역을 대표하는 명소이며 부산팔경(釜山八景)의 하나이기도 하다. 해운대 달맞이(看月)고개와 청사포(靑沙浦)에서 바라보는 저녁달은 운치가 있다고 하여 대한팔경에 포함시켰다.<br />신라 시대에 동래온천이 발견되면서 진성여왕이 이곳에 휴양차 자주 들렀다고 하며, 그후 많은 관리들이 찾아오므로 지방관헌들이 여름철에 홍수가 난 것을 이유로 온천을 폐쇄하였다. 1870년 대에 다시 온천이 발견되었고 1897년에 일본인들이 온천개발을 착수했다. 그리고 1965년 해운대 해수욕장이 개설되면서 우리나라의 대표적 하계 휴양명소로 자리잡았다. 날이 좋으면 바다 수평선 넘어 어렴풋이 일본 대마도가 바라다 보인다.<br />주변에는 훌륭한 온천, 고급호텔, 해산물음식(회)센타, 야간 위락시설 등을 갖춘 해운대는 이제는 여름철만이 아니라 차분한 휴식을 원하는 관광객이나 다양한 즐길거리를 찾는 관광객 모두에게 만족을 주는 도회형 사철관광지로 탈바꿈하였다. 겨울밤 해변의 해변의 방랑객이 되어 차가운 달빛 아래, 서늘하게 밀려드는 파도 소리를 들으며 도회의 불야성을 바라보는 추억도 쉽게 사라지지는 않을 것이다.<br /><br />* 달맞이길과 해월정, 그리고 새천년 기념탑<br />달맞이길은 해운대해수욕장을 지나 송정해수욕장으로 향하는 길목(와우산 중턱)에 위치하는 벚나무와 송림이 울창하게 들어찬 호젓한 오솔길로서, 15번 이상 굽어진다고 하여 '15곡도(曲道)'라고도 하며 8km에 달하는 드라이브 코스를 형성하고 있다. 이곳에서는 특히정월 대보름날에 달빛과 어우러진 바다의 정취를 마음껏 즐길 수 있다. 또한 길목 중간부분(정상)에는 달맞이동산이 조성되어 있다.<br />이곳에는 자연석으로 건립된 동산비가 있고 특히 지난 1997년 2월 중에 새로이 건립된 달맞이 정자 해월정(海月亭)은 옛날 정자식으로 건축되어 고풍스런 분위기가 운치를 더하고 있다. 2000년 1월에 설치된 새천년기념시계탑도 유명하다. 새로운 세기로 진입하는 문의 이미지를 담아, 과거의 시간을 지나 새로운 세계로 진입하는 입구를 표현하고 있으며 활짝 열려 있는 문을 통해 새로운 천년을 맞이하는 부산 시민들의 희망과, 세계로 뻗어가는 해양도시 부산을 상징하고 있다.<br>",051-749-5710,연중무휴,,,,,,불가,가능,,
